partner_id,partner_name,city,vehicle_type,rating
DP0000095,Raj Mehta,Pune,E-Bike,3.8
DP0000096,Robert Wilson,Pune,Bike,3.4
DP0000097,Anjali Johnson,Bangalore,E-Bike,4.6
DP0000098,Karan Jones,Bangalore,Scooter,3.8
DP0000099,Mary Jones,Kolkata,E-Bike,4.4
DP0000100,Kavya Chatterjee,Hyderabad,Scooter,4.5
DP0000101,Neha Anderson,Delhi,Bike,4.8
DP0000102,Priya Chatterjee,Kolkata,Bicycle,4.1
DP0000103,Pooja Patel,Mumbai,Bicycle,4.9
DP0000104,Aarav Sharma,Chennai,Bike,3.4
DP0000105,Kiara Anderson,Bangalore,E-Bike,4.4
DP0000106,Arjun Kapoor,Hyderabad,Bike,3.4
DP0000107,Robert Patel,Delhi,Bike,4.7
DP0000108,Robert Bose,Pune,Bike,4.7
DP0000109,Neha Brown,Pune,Bike,4.8
DP0000110,Raj Miller,Mumbai,E-Bike,3.3
DP0000111,David Johnson,Pune,Bike,4.4
DP0000112,Susan Anderson,Delhi,E-Bike,3.2
DP0000113,Meera Iyer,Chennai,Scooter,3.3
DP0000114,Reyansh Mukherjee,Kolkata,Bike,3.1
DP0000115,Michael Patel,Bangalore,Bicycle,3.8
DP0000116,Krishna Smith,Pune,E-Bike,4.5
DP0000117,Neha Joshi,Mumbai,Bicycle,3.3
DP0000118,Riya Patel,Chennai,Bike,4.6
DP0000119,Kabir Brown,Chennai,Bicycle,3.3
DP0000120,Aadhya Gupta,Kolkata,Bike,4.7
DP0000121,Anjali Das,Delhi,E-Bike,3.2
DP0000122,James Wilson,Delhi,Bicycle,4.5
DP0000123,Sneha Miller,Kolkata,Bicycle,4.1
DP0000124,Rahul Reddy,Chennai,Scooter,4.4
DP0000125,Aadhya Kapoor,Bangalore,Bicycle,3.5
DP0000126,Aryan Bose,Bangalore,Bike,4.5
DP0000127,Riya Kapoor,Bangalore,Scooter,3.7
DP0000128,Neha Johnson,Hyderabad,Scooter,4
DP0000129,Neha Kumar,Bangalore,Bike,3.1
DP0000130,Aadhya Verma,Mumbai,E-Bike,3.1
DP0000131,Sneha Sharma,Hyderabad,Scooter,3.4
DP0000132,Kiara Singh,Hyderabad,Bicycle,4
DP0000133,Elizabeth Verma,Chennai,Scooter,3.2
DP0000134,David Nair,Chennai,Scooter,4
DP0000135,Saanvi Verma,Kolkata,E-Bike,4.1
DP0000136,Ananya Johnson,Kolkata,Scooter,4.7
DP0000137,Priya Smith,Pune,E-Bike,4.9
DP0000138,Aditya Bose,Bangalore,Bike,3.9
DP0000139,Ishaan Verma,Kolkata,Scooter,4
DP0000140,Arjun Chatterjee,Hyderabad,E-Bike,4
DP0000141,Sai Brown,Kolkata,E-Bike,3.7
DP0000142,Meera Verma,Mumbai,Bicycle,3.4
DP0000143,Nikhil Joshi,Mumbai,E-Bike,4
DP0000144,Kavya Reddy,Pune,E-Bike,4.1
DP0000145,Rahul Rao,Chennai,Bicycle,4
DP0000146,William Verma,Hyderabad,Bike,4.8
DP0000147,Priya Wilson,Pune,Scooter,3.2
DP0000148,Isha Bose,Mumbai,Scooter,4
DP0000149,Ayaan Smith,Kolkata,E-Bike,4.2
DP0000150,Nikhil Garcia,Delhi,Bike,3.4
DP0000151,Mary Mehta,Mumbai,E-Bike,4.5
DP0000152,Krishna Chatterjee,Delhi,Scooter,3.6
DP0000153,Kabir Mukherjee,Pune,Bike,4.2
DP0000154,William Bose,Kolkata,Scooter,3.3
DP0000155,Saanvi Jones,Kolkata,Bicycle,4.7
DP0000156,Ananya Williams,Chennai,Bicycle,4
DP0000157,Robert Miller,Chennai,Bike,4.5
DP0000158,Aadhya Chopra,Mumbai,Bike,4
DP0000159,Kavya Chopra,Chennai,E-Bike,4.2
DP0000160,William Singh,Chennai,E-Bike,4.7
DP0000161,Aryan Davis,Hyderabad,E-Bike,4
DP0000162,Jennifer Jones,Hyderabad,Scooter,4.5
DP0000163,Mary Mukherjee,Bangalore,Bicycle,3.7
DP0000164,Dhruv Reddy,Hyderabad,Bicycle,3.4
DP0000165,Arjun Das,Bangalore,E-Bike,3.1
DP0000166,Michael Iyer,Mumbai,Bike,4
DP0000167,Karan Jones,Pune,Bicycle,4.5
DP0000168,Sai Johnson,Delhi,Scooter,4.4
DP0000169,Vihaan Patel,Delhi,Bike,4.1
DP0000170,Kabir Anderson,Kolkata,Bike,4.8
DP0000171,Arjun Verma,Mumbai,Bicycle,4.8
DP0000172,Kiara Mukherjee,Pune,Bicycle,3.2
DP0000173,Dhruv Mukherjee,Kolkata,Bicycle,4
DP0000174,Dhruv Chopra,Mumbai,E-Bike,4.9
DP0000175,Kiara Gupta,Hyderabad,E-Bike,3.5
DP0000176,Elizabeth Kumar,Delhi,Bicycle,4.6
DP0000177,Susan Williams,Pune,Bicycle,4.1
DP0000178,Sai Wilson,Delhi,Bicycle,4.9
DP0000179,Diya Mehta,Delhi,Scooter,4.2
DP0000180,Susan Iyer,Mumbai,Scooter,4
DP0000181,Karan Garcia,Mumbai,Scooter,3.7
DP0000182,Pooja Chatterjee,Hyderabad,Bicycle,3.1
DP0000183,Susan Patel,Delhi,E-Bike,3.4
DP0000184,Aryan Johnson,Chennai,Bike,4
DP0000185,Meera Johnson,Bangalore,Bike,3
DP0000186,Krishna Bose,Bangalore,Bicycle,3.1
DP0000187,Arjun Kumar,Kolkata,Bike,4.1
DP0000188,Mary Bose,Pune,Bicycle,3
DP0000189,Vikram Chatterjee,Hyderabad,Scooter,4
DP0000190,Robert Gupta,Delhi,E-Bike,4.1
DP0000191,Robert Gupta,Pune,E-Bike,3.7
DP0000192,Rahul Wilson,Delhi,E-Bike,3.7
DP0000193,Susan Chatterjee,Hyderabad,E-Bike,3.2
DP0000194,Myra Bhatt,Chennai,Scooter,3.5
DP0000195,Dhruv Malhotra,Kolkata,Bicycle,3.3
DP0000196,Meera Malhotra,Kolkata,Scooter,4
DP0000197,Rohan Bhatt,Bangalore,Bicycle,4
DP0000198,Michael Anderson,Mumbai,E-Bike,4
DP0000199,Vihaan Rao,Pune,Bicycle,4.7
DP0000200,Susan Das,Delhi,Scooter,3.2
DP0000201,Vihaan Rao,Hyderabad,E-Bike,3.3
DP0000202,Robert Mehta,Chennai,Bicycle,4.8
DP0000203,Michael Garcia,Hyderabad,Scooter,3.6
DP0000204,Meera Mukherjee,Delhi,Bicycle,4
DP0000205,Ananya Mukherjee,Kolkata,Scooter,4.5
DP0000206,Ayaan Mukherjee,Bangalore,E-Bike,4.4
DP0000207,Rohan Gupta,Pune,E-Bike,3.8
DP0000208,Amit Gupta,Hyderabad,Bike,4.1
DP0000209,Sai Kapoor,Delhi,Bike,4.8
DP0000210,Patricia Anderson,Bangalore,Scooter,4.2
DP0000211,Karan Joshi,Delhi,Bike,3
DP0000212,Aditya Das,Hyderabad,E-Bike,4.1
DP0000213,Kavya Joshi,Pune,Scooter,4.6
DP0000214,John Verma,Bangalore,Bicycle,3.1
DP0000215,Susan Johnson,Bangalore,Bike,3.7
DP0000216,Arjun Chopra,Delhi,E-Bike,3.7
DP0000217,Anjali Rao,Mumbai,E-Bike,3.9
DP0000218,Nikhil Rao,Chennai,Bike,4
DP0000219,Reyansh Miller,Chennai,Bicycle,4.3
DP0000220,Vikram Williams,Bangalore,Bike,4.4
DP0000221,Nikhil Brown,Pune,Bicycle,3.6
DP0000222,Diya Sharma,Hyderabad,Bicycle,4.1
DP0000223,Susan Nair,Kolkata,Bike,3.8
DP0000224,Amit Kapoor,Bangalore,Scooter,4
DP0000225,Saanvi Singh,Pune,Bike,4
DP0000226,Arjun Patel,Chennai,Bike,3.3
DP0000227,Sneha Verma,Kolkata,Bike,3.4
DP0000228,Linda Jones,Delhi,Bicycle,3.5
DP0000229,Elizabeth Bose,Kolkata,E-Bike,3.1
DP0000230,Rahul Das,Pune,Scooter,4
DP0000231,Rahul Jones,Pune,E-Bike,3.6
DP0000232,William Wilson,Hyderabad,E-Bike,3.5
DP0000233,William Das,Delhi,Bike,4
DP0000234,Ayaan Kapoor,Mumbai,Scooter,3.3
DP0000235,Jennifer Gupta,Delhi,Bike,3.8
DP0000236,Riya Gupta,Mumbai,Bicycle,4
DP0000237,Aarav Nair,Chennai,E-Bike,4
DP0000238,Diya Bhatt,Bangalore,Bicycle,3.9
DP0000239,Kiara Chopra,Chennai,E-Bike,4.7
DP0000240,James Joshi,Kolkata,E-Bike,4.3
DP0000241,Karan Malhotra,Delhi,Bicycle,3.4
DP0000242,Saanvi Reddy,Delhi,Scooter,4
DP0000243,Priya Smith,Bangalore,Bike,3.1
DP0000244,Ananya Brown,Kolkata,E-Bike,3.9
DP0000245,James Davis,Chennai,Bike,4.8
DP0000246,Raj Gupta,Pune,Bicycle,3
DP0000247,David Mehta,Mumbai,E-Bike,4.9
DP0000248,Amit Brown,Kolkata,Bike,3.3
DP0000249,Susan Das,Kolkata,Bicycle,3.9
DP0000250,Ayaan Mukherjee,Pune,E-Bike,4
DP0000251,Meera Rao,Mumbai,Bike,4.1
DP0000252,Isha Kapoor,Mumbai,Bicycle,3.5
DP0000253,Ananya Singh,Pune,Bicycle,4.1
DP0000254,William Wilson,Chennai,Bike,3.5
DP0000255,Vikram Kumar,Pune,Scooter,5
DP0000256,Rahul Verma,Hyderabad,Bike,3.8
DP0000257,Kiara Miller,Delhi,Bike,4.1
DP0000258,Kiara Sharma,Hyderabad,Scooter,4.1
DP0000259,Nikhil Jones,Chennai,E-Bike,3.2
DP0000260,James Malhotra,Chennai,E-Bike,4.7
DP0000261,Nikhil Malhotra,Kolkata,Bike,3.7
DP0000262,Aditya Johnson,Mumbai,Bike,3.7
DP0000263,Dhruv Rao,Mumbai,E-Bike,4.1
DP0000264,Patricia Verma,Chennai,Scooter,4.1
DP0000265,Priya Chopra,Bangalore,Bicycle,3.1
DP0000266,Sneha Reddy,Delhi,Bicycle,4
DP0000267,Neha Johnson,Kolkata,E-Bike,3.6
DP0000268,Vihaan Nair,Kolkata,Scooter,3.3
DP0000269,Aryan Johnson,Pune,E-Bike,3.8
DP0000270,Isha Kumar,Mumbai,E-Bike,4.9
DP0000271,Priya Davis,Mumbai,E-Bike,3.4
DP0000272,Anjali Nair,Chennai,E-Bike,3.7
DP0000273,Dhruv Sharma,Delhi,Scooter,5
DP0000274,Linda Reddy,Pune,E-Bike,4.9
DP0000275,Karan Brown,Hyderabad,Bicycle,4
DP0000276,Krishna Gupta,Mumbai,E-Bike,3.3
DP0000277,Susan Garcia,Delhi,Bicycle,3.9
DP0000278,Raj Patel,Delhi,Bike,3.3
DP0000279,Kabir Garcia,Pune,Scooter,4.1
DP0000280,Reyansh Rao,Mumbai,Bicycle,3.3
DP0000281,Vikram Nair,Bangalore,E-Bike,4.1
DP0000282,Aarav Anderson,Bangalore,Bicycle,3.5
DP0000283,Kabir Brown,Chennai,Bicycle,3.9
DP0000284,Priya Reddy,Delhi,E-Bike,3.9
DP0000285,Vivaan Wilson,Pune,Bike,4.9
DP0000286,Rahul Malhotra,Mumbai,Bike,3.7
DP0000287,Elizabeth Williams,Kolkata,Scooter,3.3
DP0000288,William Verma,Delhi,E-Bike,4.1
DP0000289,Raj Bhatt,Hyderabad,Bicycle,4.8
DP0000290,Ananya Kapoor,Bangalore,E-Bike,4.2
DP0000291,Aarav Bhatt,Bangalore,Scooter,3.6
DP0000292,Elizabeth Nair,Pune,E-Bike,3.3
DP0000293,Pooja Jones,Chennai,Bicycle,3.4
DP0000294,Linda Kumar,Pune,Bicycle,4.4
DP0000295,Rohan Mukherjee,Hyderabad,E-Bike,3.9
DP0000296,Karan Kapoor,Kolkata,Bike,4.9
DP0000297,Priya Verma,Pune,E-Bike,3.7
DP0000298,Robert Malhotra,Delhi,Bike,3.2
DP0000299,Aadhya Bhatt,Chennai,Bike,3.2
DP0000300,James Johnson,Bangalore,Bicycle,4
DP0000301,Aarav Gupta,Mumbai,Bicycle,4
DP0000302,Nikhil Malhotra,Hyderabad,Scooter,4
DP0000303,Vivaan Miller,Delhi,E-Bike,4.7
DP0000304,Aadhya Chatterjee,Mumbai,Scooter,4.6
DP0000305,Riya Jones,Bangalore,E-Bike,5
DP0000306,Elizabeth Jones,Bangalore,Scooter,4
DP0000307,Elizabeth Davis,Mumbai,E-Bike,4
DP0000308,Karan Chatterjee,Chennai,E-Bike,3.4
DP0000309,Sneha Bose,Chennai,Bike,4.3
DP0000310,Rahul Iyer,Chennai,Bike,4.8
DP0000311,Mary Mukherjee,Bangalore,Bike,4
DP0000312,Saanvi Smith,Mumbai,Bicycle,4.5
DP0000313,Mary Patel,Bangalore,Bike,3.6
DP0000314,Riya Garcia,Pune,Bike,3.3
DP0000315,Susan Johnson,Hyderabad,Bicycle,4.9
DP0000316,Raj Patel,Kolkata,Bike,3.7
DP0000317,Meera Chopra,Delhi,Bicycle,3.9
DP0000318,Sneha Joshi,Pune,Scooter,3.2
DP0000319,James Kapoor,Kolkata,Bicycle,4
DP0000320,Ishaan Anderson,Mumbai,Bicycle,4.1
DP0000321,Rohan Bhatt,Pune,Bike,3
DP0000322,Vihaan Sharma,Delhi,E-Bike,3.5
DP0000323,Meera Wilson,Bangalore,Bicycle,4.3
DP0000324,Kavya Johnson,Bangalore,E-Bike,3.7
DP0000325,Linda Bose,Kolkata,Bicycle,4.1
DP0000326,Kiara Bose,Delhi,E-Bike,4.4
DP0000327,Nikhil Chopra,Mumbai,Scooter,4.4
DP0000328,Pooja Jones,Kolkata,E-Bike,5
DP0000329,Saanvi Reddy,Delhi,E-Bike,4
DP0000330,Sai Nair,Pune,Bike,4.1
DP0000331,Meera Verma,Pune,Bike,3.8
DP0000332,Patricia Garcia,Kolkata,Bicycle,3.7
DP0000333,Rahul Smith,Delhi,Bicycle,3.1
DP0000334,Michael Bose,Chennai,Scooter,4.9
DP0000335,Karan Sharma,Delhi,E-Bike,4
DP0000336,Aryan Das,Delhi,Scooter,3.1
DP0000337,Aryan Smith,Hyderabad,Bicycle,5
DP0000338,Ananya Wilson,Pune,E-Bike,4.2
DP0000339,Aditya Iyer,Delhi,Bicycle,3.6
DP0000340,Myra Kapoor,Pune,E-Bike,3.1
DP0000341,Ishaan Chopra,Chennai,E-Bike,3.2
DP0000342,Krishna Williams,Pune,Bike,3.6
DP0000343,Dhruv Garcia,Chennai,Bike,3.4
DP0000344,Susan Chatterjee,Bangalore,E-Bike,3.9
DP0000345,Saanvi Das,Hyderabad,Bicycle,3.3
DP0000346,Aadhya Reddy,Bangalore,Bicycle,4
DP0000347,Aditya Anderson,Chennai,E-Bike,3.8
DP0000348,Susan Kapoor,Pune,Scooter,5
DP0000349,Mary Iyer,Chennai,Scooter,4.4
DP0000350,William Rao,Bangalore,Bike,4.7
DP0000351,Jennifer Bhatt,Hyderabad,Scooter,4.8
DP0000352,Aadhya Iyer,Pune,Scooter,4
DP0000353,Sneha Malhotra,Hyderabad,Bike,3
DP0000354,Anjali Wilson,Hyderabad,Scooter,4.3
DP0000355,Priya Williams,Kolkata,E-Bike,4.2
DP0000356,Krishna Verma,Mumbai,Bicycle,4
DP0000357,Aarav Chopra,Mumbai,Bike,3.9
DP0000358,Elizabeth Johnson,Chennai,E-Bike,3.7
DP0000359,Ananya Garcia,Chennai,Scooter,4
DP0000360,Krishna Miller,Delhi,Scooter,3.3
DP0000361,Aditya Iyer,Delhi,E-Bike,4
DP0000362,Sneha Patel,Kolkata,E-Bike,3.3
DP0000363,Vivaan Nair,Hyderabad,Bike,3.6
DP0000364,Isha Patel,Hyderabad,Scooter,3.6
DP0000365,Saanvi Kumar,Chennai,Scooter,3.8
DP0000366,Susan Chopra,Bangalore,Bike,4.1
DP0000367,Michael Sharma,Bangalore,Bike,3.2
DP0000368,Aryan Verma,Delhi,E-Bike,4.7
DP0000369,Raj Brown,Mumbai,E-Bike,4
DP0000370,Vikram Sharma,Hyderabad,Scooter,3.8
DP0000371,Robert Rao,Kolkata,E-Bike,4.9
DP0000372,Aditya Chopra,Delhi,Bicycle,4.9
DP0000373,Anjali Malhotra,Hyderabad,Bike,3.5
DP0000374,Reyansh Davis,Kolkata,E-Bike,4
DP0000375,Mary Johnson,Chennai,Bike,4.3
DP0000376,Kabir Brown,Hyderabad,Scooter,3.2
DP0000377,Jennifer Jones,Pune,Bicycle,4.1
DP0000378,Linda Kumar,Bangalore,Bike,4.5
DP0000379,Vivaan Kapoor,Pune,Scooter,4.7
DP0000380,David Johnson,Chennai,E-Bike,4.4
DP0000381,Aadhya Johnson,Mumbai,Bicycle,4.7
DP0000382,Riya Reddy,Delhi,Bicycle,3.4
DP0000383,Vihaan Davis,Delhi,Bicycle,4.2
DP0000384,Priya Gupta,Bangalore,Bike,4.7
DP0000385,Mary Mehta,Chennai,E-Bike,4
DP0000386,John Mukherjee,Pune,E-Bike,3.1
DP0000387,Elizabeth Patel,Pune,Scooter,4
DP0000388,Elizabeth Brown,Mumbai,Scooter,4.9
DP0000389,Rohan Jones,Hyderabad,E-Bike,3.2
DP0000390,Aditya Miller,Pune,Bike,4.9
DP0000391,Krishna Anderson,Pune,Bicycle,3.1
DP0000392,Robert Malhotra,Kolkata,Bike,4
DP0000393,Kiara Brown,Pune,E-Bike,3.6
DP0000394,Aadhya Mehta,Chennai,Bike,3.7
DP0000395,William Singh,Kolkata,Bike,4.1
DP0000396,Isha Singh,Pune,E-Bike,4.9
DP0000397,Linda Das,Chennai,E-Bike,3.1
DP0000398,Pooja Rao,Mumbai,E-Bike,4.9
DP0000399,Meera Kapoor,Pune,Bicycle,4.4
DP0000400,Kiara Nair,Mumbai,E-Bike,3.2
DP0000401,Pooja Nair,Kolkata,Bicycle,4.2
DP0000402,Aryan Chatterjee,Delhi,Bike,4.8
DP0000403,Arjun Kumar,Delhi,Bicycle,3
DP0000404,Vihaan Malhotra,Hyderabad,E-Bike,3.9
DP0000405,Vikram Iyer,Pune,Bike,3.5
DP0000406,Raj Kumar,Delhi,Scooter,3.7
DP0000407,Patricia Gupta,Hyderabad,Bicycle,4.9
DP0000408,Pooja Iyer,Pune,Bike,3.2
DP0000409,Saanvi Patel,Pune,E-Bike,4.6
DP0000410,Diya Malhotra,Mumbai,E-Bike,5
DP0000411,Kiara Verma,Pune,Bicycle,3.3
DP0000412,David Williams,Pune,Bicycle,3.8
DP0000413,Sneha Bhatt,Kolkata,Bike,4
DP0000414,Vikram Iyer,Kolkata,Bicycle,4
DP0000415,Jennifer Nair,Kolkata,Scooter,3.9
DP0000416,Aarav Iyer,Hyderabad,Scooter,3.9
DP0000417,Aditya Johnson,Kolkata,Bicycle,3.9
DP0000418,Isha Iyer,Kolkata,E-Bike,3.8
DP0000419,Sneha Wilson,Hyderabad,Bicycle,3.7
DP0000420,Isha Williams,Hyderabad,Bike,4.4
DP0000421,Aryan Nair,Mumbai,Scooter,4.9
DP0000422,Jennifer Mehta,Delhi,Bike,4
DP0000423,Aditya Williams,Delhi,Bike,4.9
DP0000424,Riya Johnson,Hyderabad,E-Bike,3.6
DP0000425,Nikhil Mukherjee,Chennai,Bicycle,4.9
DP0000426,Rohan Gupta,Delhi,Bike,3.2
DP0000427,Rahul Anderson,Bangalore,Scooter,4.1
DP0000428,Vivaan Joshi,Delhi,Scooter,3.9
DP0000429,Rahul Johnson,Mumbai,Bicycle,4.6
DP0000430,Mary Reddy,Bangalore,Scooter,4.2
DP0000431,Riya Nair,Mumbai,E-Bike,3
DP0000432,Aryan Mukherjee,Bangalore,E-Bike,3.6
DP0000433,Aryan Davis,Hyderabad,Bike,5
DP0000434,James Mehta,Mumbai,Bicycle,3.7
DP0000435,David Garcia,Bangalore,Bike,3.6
DP0000436,Jennifer Wilson,Bangalore,Bike,4
DP0000437,John Malhotra,Mumbai,Bicycle,4
DP0000438,Vikram Williams,Chennai,E-Bike,4
DP0000439,Saanvi Wilson,Mumbai,Bicycle,3.7
DP0000440,John Iyer,Pune,E-Bike,4.3
DP0000441,Arjun Reddy,Mumbai,E-Bike,5
DP0000442,Vihaan Mehta,Hyderabad,Bike,4.2
DP0000443,David Nair,Mumbai,Bike,3.8
DP0000444,Ayaan Wilson,Delhi,Bike,4.1
DP0000445,Karan Nair,Hyderabad,Bike,3.3
DP0000446,Vihaan Joshi,Kolkata,Bicycle,4.6
DP0000447,Riya Nair,Kolkata,Bike,4.3
DP0000448,Reyansh Anderson,Kolkata,Scooter,4.7
DP0000449,James Anderson,Hyderabad,Bike,3.7
DP0000450,Vikram Smith,Kolkata,Bike,4.8
DP0000451,Vivaan Mukherjee,Chennai,Bicycle,4.1
DP0000452,Isha Kapoor,Chennai,Bike,4
DP0000453,Michael Smith,Chennai,Bicycle,3.2
DP0000454,Rahul Kumar,Pune,Scooter,4.6
DP0000455,Vihaan Williams,Mumbai,Scooter,4.9
DP0000456,Riya Mukherjee,Kolkata,Scooter,3.2
DP0000457,Myra Wilson,Kolkata,Bike,4.7
DP0000458,Diya Davis,Hyderabad,Scooter,5
DP0000459,Elizabeth Rao,Hyderabad,E-Bike,4
DP0000460,James Bose,Hyderabad,Bicycle,4
DP0000461,Dhruv Rao,Pune,Bike,4
DP0000462,Robert Garcia,Pune,E-Bike,4
DP0000463,Anjali Joshi,Hyderabad,E-Bike,4
DP0000464,Riya Sharma,Pune,Scooter,3.4
DP0000465,Patricia Nair,Chennai,E-Bike,4.4
DP0000466,Isha Mukherjee,Bangalore,Scooter,3.1
DP0000467,Ayaan Smith,Hyderabad,E-Bike,3.2
DP0000468,John Miller,Chennai,Bike,4.3
DP0000469,Ayaan Das,Mumbai,Scooter,4.2
DP0000470,Aarav Bose,Pune,Scooter,4
DP0000471,Saanvi Wilson,Hyderabad,Scooter,4.9
DP0000472,Dhruv Sharma,Hyderabad,Bike,3.2
DP0000473,Jennifer Kumar,Chennai,E-Bike,3.6
DP0000474,Susan Chatterjee,Mumbai,Bike,3.9
DP0000475,James Garcia,Delhi,Scooter,4
DP0000476,Priya Anderson,Kolkata,Scooter,4.5
DP0000477,Meera Wilson,Pune,E-Bike,4.2
DP0000478,Arjun Jones,Pune,E-Bike,4.2
DP0000479,Reyansh Bhatt,Bangalore,Bicycle,4.7
DP0000480,Mary Smith,Bangalore,E-Bike,3.7
DP0000481,Krishna Davis,Mumbai,E-Bike,4
DP0000482,Saanvi Singh,Kolkata,Bike,3.8
DP0000483,Vikram Chatterjee,Bangalore,E-Bike,3.3
